date,fips,ave_precip,Month,County
9/30/2003,36005,0.200173136,9,Bronx
5/31/2004,36005,0.152210988,5,Bronx
6/30/2004,36005,0.106829667,6,Bronx
7/31/2004,36005,0.260821284,7,Bronx
8/31/2004,36005,0.121462697,8,Bronx
9/30/2004,36005,0.343696144,9,Bronx
5/31/2005,36005,0.058551079,5,Bronx
6/30/2005,36005,0.096642637,6,Bronx
7/31/2005,36005,0.097434442,7,Bronx
8/31/2005,36005,0.108933478,8,Bronx
9/30/2005,36005,0.030910498,9,Bronx
5/31/2006,36005,0.198283365,5,Bronx
6/30/2006,36005,0.247746106,6,Bronx
7/31/2006,36005,0.18107613,7,Bronx
8/31/2006,36005,0.172710654,8,Bronx
9/30/2006,36005,0.081843494,9,Bronx
5/31/2007,36005,0.065012571,5,Bronx
6/30/2007,36005,0.156955894,6,Bronx
7/31/2007,36005,0.189237389,7,Bronx
8/31/2007,36005,0.177390504,8,Bronx
9/30/2007,36005,0.052495978,9,Bronx
5/31/2008,36005,0.11967213,5,Bronx
6/30/2008,36005,0.134445695,6,Bronx
7/31/2008,36005,0.102744608,7,Bronx
8/31/2008,36005,0.184972046,8,Bronx
9/30/2008,36005,0.206760964,9,Bronx
5/31/2009,36005,0.149810052,5,Bronx
6/30/2009,36005,0.264496971,6,Bronx
7/31/2009,36005,0.188814211,7,Bronx
8/31/2009,36005,0.154849939,8,Bronx
9/30/2009,36005,0.067270068,9,Bronx
5/31/2010,36005,0.098300001,5,Bronx
6/30/2010,36005,0.074275178,6,Bronx
7/31/2010,36005,0.081355561,7,Bronx
8/31/2010,36005,0.090904564,8,Bronx
9/30/2010,36005,0.11157278,9,Bronx
5/31/2011,36005,0.155070494,5,Bronx
6/30/2011,36005,0.137990584,6,Bronx
7/31/2011,36005,0.065106762,7,Bronx
8/31/2011,36005,0.536829797,8,Bronx
9/30/2011,36005,0.250661877,9,Bronx
5/31/2012,36005,0.179343564,5,Bronx
6/30/2012,36005,0.130459594,6,Bronx
7/31/2012,36005,0.130630038,7,Bronx
8/31/2012,36005,0.07395128,8,Bronx
9/30/2012,36005,0.170964274,9,Bronx
5/31/2013,36005,0.163309919,5,Bronx
6/30/2013,36005,0.249569701,6,Bronx
7/31/2013,36005,0.110877827,7,Bronx
8/31/2013,36005,0.085744224,8,Bronx
9/30/2013,36005,0.085938559,9,Bronx
5/31/2014,36005,0.244238543,5,Bronx
6/30/2014,36005,0.13411039,6,Bronx
7/31/2014,36005,0.157526581,7,Bronx
8/31/2014,36005,0.06905886,8,Bronx
9/30/2014,36005,0.049478943,9,Bronx
5/31/2015,36005,0.021910139,5,Bronx
6/30/2015,36005,0.207757282,6,Bronx
7/31/2015,36005,0.116471977,7,Bronx
8/31/2015,36005,0.056808153,8,Bronx
9/30/2015,36005,0.083395297,9,Bronx
5/31/2016,36005,0.127362396,5,Bronx
6/30/2016,36005,0.090688506,6,Bronx
7/31/2016,36005,0.150193231,7,Bronx
8/31/2016,36005,0.075427792,8,Bronx
9/30/2016,36005,0.07527538,9,Bronx
5/31/2017,36005,0.192422698,5,Bronx
6/30/2017,36005,0.124682446,6,Bronx
7/31/2017,36005,0.133805627,7,Bronx
8/31/2017,36005,0.158762929,8,Bronx
9/30/2017,36005,0.076849663,9,Bronx
5/31/2018,36005,0.11750254,5,Bronx
6/30/2018,36005,0.106824084,6,Bronx
7/31/2018,36005,0.202504911,7,Bronx
8/31/2018,36005,0.246152491,8,Bronx
9/30/2018,36005,0.227041753,9,Bronx
5/31/2019,36005,0.22631909,5,Bronx
6/30/2019,36005,0.162013589,6,Bronx
7/31/2019,36005,0.228738449,7,Bronx
8/31/2019,36005,0.1435235,8,Bronx
9/30/2019,36005,0.023338834,9,Bronx
5/31/2020,36005,0.096962433,5,Bronx
6/30/2020,36005,0.068816926,6,Bronx
7/31/2020,36005,0.208564811,7,Bronx
8/31/2020,36005,0.161930865,8,Bronx
9/30/2020,36005,0.1352364,9,Bronx
5/31/2002,36007,0.177964632,5,Broome
6/30/2002,36007,0.208694164,6,Broome
7/31/2002,36007,0.037966443,7,Broome
8/31/2002,36007,0.061412908,8,Broome
9/30/2002,36007,0.159987041,9,Broome
5/31/2003,36007,0.11481773,5,Broome
6/30/2003,36007,0.222185626,6,Broome
7/31/2003,36007,0.161868201,7,Broome
8/31/2003,36007,0.100481716,8,Broome
9/30/2003,36007,0.28100167,9,Broome
5/31/2004,36007,0.14891695,5,Broome
6/30/2004,36007,0.087772424,6,Broome
7/31/2004,36007,0.238965494,7,Broome
8/31/2004,36007,0.172912002,8,Broome
9/30/2004,36007,0.239973321,9,Broome
5/31/2005,36007,0.081256662,5,Broome
6/30/2005,36007,0.138972549,6,Broome
7/31/2005,36007,0.096292158,7,Broome
8/31/2005,36007,0.137191191,8,Broome
9/30/2005,36007,0.071720772,9,Broome
5/31/2006,36007,0.083810346,5,Broome
6/30/2006,36007,0.358408097,6,Broome
7/31/2006,36007,0.152403895,7,Broome
8/31/2006,36007,0.196866036,8,Broome
9/30/2006,36007,0.110082185,9,Broome
5/31/2007,36007,0.057803534,5,Broome
6/30/2007,36007,0.097171994,6,Broome
7/31/2007,36007,0.157595033,7,Broome
8/31/2007,36007,0.080474631,8,Broome
9/30/2007,36007,0.102666449,9,Broome
5/31/2008,36007,0.08448952,5,Broome
6/30/2008,36007,0.096605989,6,Broome
7/31/2008,36007,0.152828159,7,Broome
8/31/2008,36007,0.067651895,8,Broome
9/30/2008,36007,0.110637523,9,Broome
5/31/2009,36007,0.159464486,5,Broome
6/30/2009,36007,0.145692694,6,Broome
7/31/2009,36007,0.144171018,7,Broome
8/31/2009,36007,0.174125452,8,Broome
9/30/2009,36007,0.079310194,9,Broome
5/31/2010,36007,0.081049697,5,Broome
