date,fips,avg_temp,max_temp,min_temp,county,Month
2013-09-30,36001,58.88902765909831,70.47952753702799,70.47952753702799,Albany,9
2014-05-31,36001,57.14350115868353,68.56578408518145,68.56578408518145,Albany,5
2014-06-30,36001,65.36652183532715,76.03252092997234,76.03252092997234,Albany,6
2014-07-31,36001,69.10434156848538,79.60841935680759,79.60841935680759,Albany,7
2014-08-31,36001,65.98119797245148,76.2619745808263,76.2619745808263,Albany,8
2014-09-30,36001,60.54440854390462,71.97353134155273,71.97353134155273,Albany,9
2015-05-31,36001,61.93017898067351,76.07898429132277,76.07898429132277,Albany,5
2015-06-30,36001,63.33433202107747,73.29424908955892,73.29424908955892,Albany,6
2015-07-31,36001,69.34498128583354,80.63150122857863,80.63150122857863,Albany,7
2015-08-31,36001,69.15388525685957,80.77399321525327,80.77399321525327,Albany,8
