date,fips,ave_precip,county
2009-02-04,36001,0.005445603647136262,Albany
2009-02-11,36001,0.0114560600902353,Albany
2009-02-18,36001,0.08033878295100294,Albany
2009-02-25,36001,0.052150301435696225,Albany
2009-03-04,36001,0.1639984186206545,Albany
2009-03-11,36001,0.049682547471352985,Albany
2009-03-18,36001,0.030130333562088447,Albany
2009-03-25,36001,0.09294483404872673,Albany
2009-04-01,36001,0.09883924926232014,Albany
2009-04-08,36001,0.018306324125400612,Albany
2009-04-15,36001,0.04103920073248446,Albany
2009-04-22,36001,0.02875680894015074,Albany
2009-04-29,36001,0.015902903895559057,Albany
2009-05-06,36001,0.1343083788908968,Albany
2009-05-13,36001,0.1555914817727171,Albany
2009-05-20,36001,0.002930576613705073,Albany
2009-05-27,36001,0.25140265482852037,Albany
2009-06-03,36001,0.04102600046566555,Albany
2009-06-10,36001,0.3401308078485142,Albany
2009-06-17,36001,0.28336075197772254,Albany
2009-06-24,36001,0.07200035479218059,Albany
2009-07-01,36001,0.27731784539563314,Albany
2009-07-08,36001,0.12375412594493744,Albany
2009-07-15,36001,0.13523987807067378,Albany
2009-07-22,36001,0.12314260032560144,Albany
2009-07-29,36001,0.4106260266687189,Albany
2009-08-05,36001,0.019331997487045425,Albany
2009-08-12,36001,0.002937006764113903,Albany
2009-08-19,36001,0.2894040927148386,Albany
2009-08-26,36001,0.16455301835334726,Albany
2009-09-02,36001,0.0,Albany
2009-09-09,36001,0.07422402210197886,Albany
2009-09-16,36001,0.000449423113812892,Albany
2009-09-23,36001,0.15779870193052506,Albany
2009-09-30,36001,0.047541504415373005,Albany
2009-10-07,36001,0.08862040933620717,Albany
2009-10-14,36001,0.007073984020930116,Albany
2009-10-21,36001,0.21253544283432088,Albany
2009-10-28,36001,0.21227159090007522,Albany
2009-11-04,36001,0.011875562852115504,Albany
2009-11-11,36001,0.13554573484829494,Albany
2009-11-18,36001,0.12487813710634198,Albany
2009-11-25,36001,0.01888490248113937,Albany
2009-12-02,36001,0.19220083629313325,Albany
2009-12-09,36001,0.17701745392488583,Albany
2009-12-16,36001,0.004643886749233518,Albany
2009-12-23,36001,0.16082751354302413,Albany
2009-12-30,36001,0.08858401434762138,Albany
